23840.155390    0.09510	5120150410034345861775825357682888051201910044001639079 088178+0665010642a0697
23840.166420    0.02695	5120150410035938416846225390779646275401910056001509999 088183+0704710642a0616
23840.194250    0.06003	5120150410043943112897925367379211113301910038003446031 088186+0646610642a0631
23840.202350    0.09866	5120150410045122631666925392002070193101910039001772068 088188+0666410642a0569
23840.212130    0.01748	5120150410050528377475625366696486503001910042001516536 088188+0686010642a0691
23840.231810    0.07323	5120150410053348036285925357952999024201910072001752094 088204+0755410642a0665
23840.240680    0.01311	5120150410054634844618525399301540239401910066001345687 088209+0775310642a0609
23840.261000    0.09381	5120150410061550604898125415213809790101910064001624095 088203+0855010642a0682
23840.270180    0.03871	5120150410062903777075025397945129235301910159003095170 088203+0884910642a0713
23840.277210    0.00879	5120150410063910881716225400972373495001910023001783042 088220+0924710642a0613
23840.296090    0.03417	5120150410070622043652825440602820128401910063002004188 088225+0954310642a0699
23841.114060    0.02282	5120150411024414554939425153910370865401910015001620289 087996+0445610642a0588
23841.138560    0.04257	5120150411031931461463625126778934426401910038001669418 087972+0455610642a0718
23841.163100    0.07077	5120150411035452053037725086075963296301910270002707312 087957+0465910642a0687
23841.176240    0.02731	5120150411041347284049825074166952101001910174001646439 087957+0475810642a1135
23841.204170    0.05879	5120150411045400331026225064679038903301910199002899078 087971+0475410642a1220
23842.171570    0.06515	5120150412040703404868624789657235104301910009003058036 088265+0805910642a0511
23842.204550    0.13202	5120150412045432773829124785417900754101910064001810153 088284+0835510642a0636
23842.212700    0.08818	5120150412050617573587724738136934604201910020001742047 088294+0785410642a0641
23842.228870    0.03251	5120150412052934661954724746223447932301910071003113105 088311+0775710642a0687
23842.238400    0.00425	5120150412054317381387924739237775762001910016002035088 088326+0875410642a0649
23842.260750    0.01019	5120150412061528445739924756727087459401910076001572510 088355+0985310642a0537
23842.266170    0.10813	5120150412062316897817824761697155971101910075001624123 088367+1035010642a0622
23842.289590    0.07224	5120150412065700190605224738804165085301910044003010125 088396+1114710642a0658
23842.298660    0.08839	5120150412071003831988324724002958763201910070001912127 088403+1144510642a0817
23842.308080    0.02942	5120150412072337906112924741295248581001910037001705176 088408+1204510642a0669
23842.316870    0.00938	5120150412073617661304024767703793763401910045001577160 088409+1234810642a0655
23842.354500    0.05603	5120150412083028757039824772902988314301910056002561156 088463+1254110642a0621
23842.362540    0.09621	5120150412084203240142524804261355274101910028001955049 088478+1245110642a0616
23843.191430    0.08501	5120150413043539242291824486998897122301910020002616093 088454+0885410642a0534
23843.202950   -0.01495	5120150413045214723176224470090615972001910012002065048 088454+0875510642a0656
23843.211350    0.05806	5120150413050420507263324448771589126201910016002246046 088457+0895610642a0588
23843.221500   -0.00255	5120150413051857333247224472999945656401910038001552148 088459+0915510642a0685
23843.228860    0.09960	5120150413052933160620424473480964756101910059001456089 088457+0905410642a0642
23843.237800    0.05568	5120150413054225663860124440601860382301910060002974033 088465+0935410642a0659
23843.246200    0.00909	5120150413055431721672024431327046064001910022001881017 088467+0975410642a0668
23843.255510    0.00312	5120150413060756383059124447506181315401910068001412103 088490+1035410642a0621
23843.262720    0.08657	5120150413061819378255024450546809114101910167001496249 088495+1125410642a0475
23843.270380    0.05315	5120150413062920756675824421588183741301910210002741140 088498+1165010642a0643
23843.277230    0.07828	5120150413063912632820624403292063261201910057002044046 088503+1204610642a0668
