date_julian,date_julian_year,residual_m,sigma_m,elongation_rad,cos_elong_rad,station,reflector,residual_corrected_m
2458004.4949386,2017.68491764,-0.0350595411809,2.07,3.510873914303191,-0.9325870119875596,Grasse,5,-0.0350595411809
2458004.50354165,2017.68494121,-0.0587677654774,2.136,3.512774753191356,-0.9318992288493976,Grasse,5,-0.0587677654774
2458004.51214105,2017.68496477,-0.00402161450698,0.09,3.514675088066526,-0.931208262291271,Grasse,5,-0.00402161450698
2458004.52019295,2017.68498683,-0.0223258432896,1.839,3.516454707602562,-0.9305581388844154,Grasse,5,-0.0223258432896
2458004.5436807,2017.68505118,-0.0658430752309,2.021,3.5216474453971327,-0.9286443107796304,Grasse,5,-0.0658430752309
2458009.65566995,2017.69905663,0.00322344927476,2.223,4.686413034811616,-0.0259730244611701,Grasse,5,0.00322344927476
2458009.67416815,2017.69910731,-0.0068279203923,87.511,4.690684469631888,-0.0217028066785188,Grasse,5,-0.0068279203923
2458009.6831435,2017.6991319,-0.0181495842488,87.508,4.692756963784709,-0.0196307555418163,Grasse,5,-0.0181495842488
2458009.691721,2017.6991554,-0.035964935735,1.865,4.694737582927209,-0.0176504808587195,Grasse,5,-0.035964935735
2458009.702817,2017.6991858,-0.0152445730717,87.525,4.697299733870086,-0.0150886739210343,Grasse,5,-0.0152445730717
2458009.7108214498,2017.69920773,-0.022662371114,87.528,4.699148013770518,-0.0132405797094639,Grasse,5,-0.022662371114
2458009.71968,2017.699232,0.0143208804576,1136.999,4.7011935022705345,-0.0111952442444525,Grasse,5,0.0143208804576
2458009.7294109,2017.69925866,-0.00705239148452,1414.999,4.703440409913556,-0.008948451042628,Grasse,5,-0.00705239148452
2458009.7397915,2017.6992871,-0.0477369722874,1.954,4.705837322727237,-0.0065516107867567,Grasse,5,-0.0477369722874
2458009.74840915,2017.69931071,-0.0074678358586,2155.999,4.707827153856941,-0.0045618107056312,Grasse,5,-0.0074678358586
2458009.7577276,2017.69933624,-0.0123568472417,1284.136,4.709978789122774,-0.0024101889284411,Grasse,5,-0.0123568472417
2458009.7676994,2017.69936356,0.0199630561321,1087.999,4.712281269085394,-0.0001077112990876,Grasse,5,0.0199630561321
2458009.7763645,2017.6993873,-0.00766143174483,1546.84,4.7142820209142755,0.001893039398935,Grasse,5,-0.00766143174483
2458009.7853654,2017.69941196,-0.0603396591695,2.487,4.716360295499991,0.0039713046764796,Grasse,5,-0.0603396591695
2458009.7961475,2017.6994415,-0.0205012259038,2423.37,4.71884982522003,0.0064607998867805,Grasse,5,-0.0205012259038
2458009.80545135,2017.69946699,-0.020996182874,1301.161,4.720998018832008,0.0086089321037854,Grasse,5,-0.020996182874
2458009.81359815,2017.69948931,-0.00311800809219,1639.304,4.722879045322167,0.0104898725481881,Grasse,5,-0.00311800809219
2458009.8340856,2017.69954544,-0.0209289488347,2.572,4.727609368547815,0.0152198005101971,Grasse,5,-0.0209289488347
2458010.604367,2017.7016558,0.0292150083034,1578.999,4.9053546073701835,0.1917703184661386,Grasse,5,0.0292150083034
2458010.6080097,2017.70166578,0.0248049798457,1935.179,4.906194474782833,0.1925945300668776,Grasse,5,0.0248049798457
2458010.63992165,2017.70175321,0.0328901114909,2032.207,4.913551782462439,0.1998088196800442,Grasse,5,0.0328901114909
2458010.6423927,2017.70175998,0.0131595435588,87.641,4.914121455828815,0.2003669730753331,Grasse,5,0.0131595435588
2458010.65207615,2017.70178651,0.00305882124589,87.608,4.916353829228353,0.2025535749105688,Grasse,5,0.00305882124589
2458010.6601682003,2017.70180868,0.0203986468761,87.59,4.918219281464808,0.2043800050347375,Grasse,5,0.0203986468761
2458010.6686143,2017.70183182,-0.000403254941245,1724.999,4.920166305332158,0.2062855417958562,Grasse,5,-0.000403254941245
